title,summary,tags
Archaeology: Egypt,"The Expedition to Egypt offered a point of anchorage in the construction of Egyptian archaeology which developed under a strong French influence: the decipherment of hieroglyphs by Champollion, the direction of Le Service des Antiquités de l’Égypte between 1858 and 1952, and the creation of a scientific school based in Cairo in 1880, the future Institut français d’archéologie orientale.",['shs']
Maya Pottery,"Ce chapitre de catalogue d'exposition présente les céramiques mayas (jusqu'alors inédites) de la collection Ligabue d'antiquités précolombiennes, exposée au Museo Archeologico Nazionale de Florence (Italie) du 19 septembre 2015 au 6 mars 2016. Plusieurs pièces datant de l'époque classique récente (VIIe et VIIIe siècles) portent des inscriptions glyphiques, commentées par l'auteur.",['shs']
Effect of Bio Field Treatment on the Physical and Thermal Characteristics of Vanadium Pentoxide Powders,"Vanadium pentoxide powders are very useful in producing ferrous as well as aluminiumalloys, inremoving carbon and sulphur and as catalysts in synthesizing ammonia and sulphuric acid. It is also used as corrosion inhibitor petroleum and chemical processing. In the present investigation V2O5 powders are exposed to biofield. Both the exposed and unexposed powders are later characterized by various techniques. The average particle size is found to decrease with increase in number of days after treatment upto a maximum of 15.9% in 110 days indicating severe fracture at agglomerate/crystallite boundaries. The BET surface area showed a surprising decrease (it should increase as particle size is decreased) of 7.22% in 109 days indicating the surface densification/removal of sharp surface corners/formation of large particles. SEM photographs indeed showed that samples exposed to biofield after 20 days showed increase in size as well as rounded corners. Thermal analysis indicated an increase in melting temperature by 9.9% in samples treated after 57 days along with a much reduced change in weight. X-ray diffraction of the powder samples indicated both increase and decrease in crystallite size, unit cell volume and molecular weight of samples exposed to biofield after 28, 104, 124 and 139 days. These results indicate that the catalytic nature of vanadium pentoxide can be controlled by exposing to bio field and using after a specific number of days after exposure.",['phys']
Alignment of Memory Transfers of a Time-Predictable Stack Cache,"Modern computer architectures use features which often com-plicate the WCET analysis of real-time software. Alterna-tive time-predictable designs, and in particular caches, thus are gaining more and more interest. A recently proposed stack cache, for instance, avoids the need for the analysis of complex cache states. Instead, only the occupancy level of the cache has to be determined. The memory transfers generated by the standard stack cache are not generally aligned. These unaligned accesses risk to introduce complexity to the otherwise simple WCET analysis. In this work, we investigate three different ap-proaches to handle the alignment problem in the stack cache: (1) unaligned transfers, (2) alignment through compiler-gen-erated padding, (3) a novel hardware extension ensuring the alignment of all transfers. Simulation results show that our hardware extension offers a good compromise between average-case performance and analysis complexity.",['info']
Effect of Biofield Treatment on Phenotypic and Genotypic Characteristic of Provindencia rettgeri,"Providencia rettgeri (P. rettgeri) is a clinically significant Gram-negative bacterium of genus Providencia, and commonly associated with hospital-acquired infection like urinary tract infection (UTI), gastroenteritis, and ocular infections. Present study was designed to evaluate the effect of biofield treatment on P. rettgeri against antimicrobial susceptibility, biochemical reaction pattern, biotype number, and 16S rDNA sequence. The samples of P. rettgeri (ATCC 9250) were divided into three groups: Gr.I (control), Gr.II (treatment, revived), and Gr.III (treatment, lyophilized). The Gr.II and III were treated with Mr. Trivedi’s biofield, and then subsequently characterized for antimicrobial susceptibility, minimum inhibitory concentration (MIC), biochemical reactions, and biotype numbering. The 16S rDNA sequencing was carried out to correlate the phylogenetic relationship of P. rettgeri with other bacterial species. The treated cells of P. rettgeri showed an alteration in susceptibility of about 50% and 53.3% tested antimicrobials of Gr.II on day 5 and 10, respectively; and 53.3% of tested antimicrobials of Gr.III on day 10. MIC results showed a significant decrease in MIC values of 53.1, 56.3, and 56.3% antimicrobials in Gr.II on day 5, Gr.II on day 10, and Gr.III on day 10, respectively, as compared to control. The significant changes in biochemical reactions and biotype numbers were also observed in all the treated groups of P. rettgeri. Based on nucleotides homology and phylogenetic analysis the P. rettgeri was found to be Proteus mirabilis (GenBank Accession Number: AY820623) and nearest homolog species was found to be Proteus vulgaris (Accession No. DQ499636). These findings suggest that biofield treatment can prevent the emergence of absolute resistance of existing antimicrobials to P. rettgeri.",['sdv']
"Antimicrobial Susceptibility Pattern, Biochemical Characteristics and Biotyping of Salmonella paratyphi A: An Impact of Biofield Treatment","Enteric fever is a major global problem. Emergence of antimicrobial resistance threatens to render current treatments ineffective. The current study was attempted to investigate the effect of biofield treatment on Salmonella paratyphi A (S. paratyphi A) in terms of antimicrobial susceptibility assay, biochemical characteristics and biotyping. S. paratyphi A strain were procured from MicroBioLogics in sealed packs bearing the American Type Culture Collection (ATCC 9150). The study was conducted in revived and lyophilized state of S. paratyphi A. Both revived (Group; Gr. II) and lyophilized (Gr. III) strain of S. paratyphi A were subjected to Mr. Trivedi’s biofield treatment. Revived treated cells was assessed on day 5 and day 10, while lyophilized treated cells assessed on day 10 after biofield treatment with respect to control (Gr. I). The antimicrobial susceptibility of S. paratyphi A showed significant (60%) alteration in revived treated cells (Gr. II) on day 10 as compared to control. The MIC values of S. paratyphi A also showed significant (53.12%) alteration in Gr. II and on day 10 while, no alteration was found in Gr. on day 5 as compared to control. It was observed that overall 18.18% biochemical reactions were altered in the treated groups with respect to control. Moreover, biotype numbers were substantially changed in Gr. II, on day 5 (53001040, S. paratyphi A), on day 10 (57101050, Citrobacter freundii complex) as compared to control (53001000, S. paratyphi A). Besides, biotype number was also changed in Gr. III (53001040, S. paratyphi A) as compared to control. The overall result suggested that biofield treatment had significant impact on S. paratyphi A in Gr. II on day 10 with respect to antimicrobial susceptibility, MIC values and biotype number.",['sdv']
"Atomic, Crystalline and Powder Characteristics of Treated Zirconia and Silica Powders","Zirconium oxide and silicon dioxide powders are selected and subjected to a non-contact Biofield energy known to be transmitted by Mahendra Kumar Trivedi. Particle sizes d50 and d99 showed up to 71.5 percent decrease indicating that the energy had caused deformation and fracture as if the powders have been subjected to high energy milling. This is also supported by increase in specific surface area up to 19.48 percent. In the present investigation Zirconium oxide and silicon dioxide powders are exposed to Bio-field. Both the exposed and unexposed powders are later characterized by various techniques. The treated powders when characterized by X-ray diffraction are found to exhibit significant increase and decrease in the lattice parameters of the unit cell, crystallite size and density. The lattice parameters are then used to compute the molecular weight and total number of protons and neutrons in the molecule, which showed an increase up to 0.24 and decrease up to 0.31 percent. It is speculated that the Biofield energy transmitted by Mr. Trivedi is acting on the nucleus in the atoms through some reversible weak interaction of larger cross section causing changes in the proton to neutron ratios and thus energy to mass and mass to energy. Thus the effect is felt by all the atoms, and hence the unit cell, single crystal grain and grain boundaries. The stresses generated in turn may have caused deformation and fracture of the weak interfaces in the polycrystalline powders such as the crystallite and grain boundaries.",['phys']
The Exponential-Generalized Truncated Geometric (EGTG) Distribution: A New Lifetime Distribution,"This paper introduces a new two-parameter lifetime distribution, called the exponential-generalized truncated geometric (EGTG) distribution, by compounding the exponential with the generalized truncated geometric distributions. The new distribution involves two important known distributions, i.e., the exponential-geometric (Adamidis and Loukas, 1998) and the extended (complementary) exponential-geometric distributions (Adamidis et al., 2005; Louzada et al., 2011) in the minimum and maximum lifetime cases, respectively. General forms of the probability distribution, the survival and the failure rate functions as well as their properties are presented for some special cases. The application study is illustrated based on two real data sets.",['shs']
Shibam and the Wadi Hadhramawt (Eastern Yemen).,"The city of Shibam (Hadhramawt) stands on a rock in the middle of the Wadî. Ramparts enclose a trapezoidal shaped area measuring 380 by 250 m . Inside, there are about 500 high-rise houses built in mud-brick , the palace of the Quayti Sultan and some mosques, all built in the 19th and early 20th cent. The paper shows different types of mud architecture in the cities of Tarîm, Huraydah, Say'ûn, etc. The city of Shibam is on the list of the World National Heritage.",['shs']
Catégories vides et explication en syntaxe,"Le concept de catégorie vide rappelle à bien des égards celui de sous-entendu des grammaires traditionnelles. Les études réunies dans ce volume montrent cependant qu'il ne prend tout son sens que lorqu'on le relie aux autres concepts de la grammaire générative chomskyenne. Il est en particulier historiquement et épistémologiquement lié à l'hypothèse, formulée dans Chomsky 1973, selon laquelle les éléments déplacés laissent une trace de leur déplacement, proche par sa nature, du sujet vide des propositions infinitives.",['shs']
